res.sdo.com	['116.211.25.116']
sip.sdo.com	['192.168.119.30']
ca.sdo.com	['116.211.24.124']
deploy.sdo.com	['101.227.1.123']
asp.sdo.com	['61.152.101.67']
home.sdo.com	['222.73.12.227']
il.sdo.com	['116.211.3.51']
ip.sdo.com	['61.152.97.62', '61.152.97.63']
tx.sdo.com	['116.211.3.138']
bb.sdo.com	['58.215.44.181']
dc.sdo.com	['58.215.55.74']
ok.sdo.com	['210.51.47.226']
user.sdo.com	['114.80.132.136', '101.227.2.32']
oc.sdo.com	['61.172.241.108']
ct.sdo.com	['116.211.3.138']
www.sdo.com	['222.73.13.118', '222.73.2.76']
nj.sdo.com	['116.211.28.29']
web.sdo.com	['116.211.1.66']
tn.sdo.com	['222.73.63.44']
vpn.sdo.com	['61.172.241.97']
win.sdo.com	['58.215.44.12']
ms.sdo.com	['10.150.160.15']
ec.sdo.com	['61.129.44.47']
static.sdo.com	['221.230.143.102', '61.147.226.160', '183.131.107.149', '115.153.176.103']
a.sdo.com	['114.80.132.137', '101.227.2.101']
act.sdo.com	['115.182.6.42']
ga.sdo.com	['183.131.107.149', '61.147.226.160', '221.230.143.102', '115.153.176.103']
x.sdo.com	['117.21.168.46']
vc.sdo.com	['117.21.168.46']
corp.sdo.com	['192.168.100.196']
am.sdo.com	['61.172.254.53']
ad.sdo.com	['116.211.26.115']
cc.sdo.com	['61.147.226.160', '221.230.143.102', '183.131.107.149', '115.153.176.103']
smtp.sdo.com	['222.73.12.176']
tu.sdo.com	['116.211.21.224', '116.211.21.223']
gw.sdo.com	['58.215.44.10']
service.sdo.com	['114.80.132.20']
cs.sdo.com	['61.147.226.160', '221.230.143.102', '183.131.107.149', '115.153.176.103']
gt.sdo.com	['192.168.119.90']
love.sdo.com	['58.49.58.227']
hs.sdo.com	['101.227.1.121']
wifi.sdo.com	['175.102.131.31']
dnm.sdo.com	['221.230.143.102', '183.131.107.149', '115.153.176.103', '61.147.226.160']
mo.sdo.com	['117.21.168.46']
mail.sdo.com	['222.73.12.176']
ap.sdo.com	['222.73.12.233']
mobile.sdo.com	['218.249.163.213']
